5204,141,7068
5445,35,1789
5278,99,4997
5436,138,6936
5497,103,5192
5839,34,1704
5921,17,880
5718,32,1608
5598,78,3934
5233,30,1515
5531,60,3039
5179,144,7244
5832,167,8374
5153,109,5463
5921,27,1398
5708,0,39
5331,170,8513
5331,198,9924
5822,68,3434
5694,8,420
5208,95,4789
5650,67,3377
5525,55,2793
5899,31,1567
5897,57,2895
5523,7,361
5128,34,1729
5557,11,586
5709,7,397
5822,15,766
5923,4,241
5709,105,5270
5215,1,88
5719,59,2997
5272,5,266
5425,15,778
5167,25,1297
5606,67,3385
5656,4,204
5154,89,4469
5500,13,689
5365,16,848
5157,44,2235
5331,58,2921
5142,34,1721
5946,11,568
5925,165,8274
5905,9,464
5329,10,545
5214,14,728
5444,44,2201
5204,67,3366
5536,48,2430
5147,8,402
5767,151,7581
5519,146,7333
5823,230,11523
5656,5,261
5891,139,6999
5437,15,758
5399,20,1011
5824,275,13759
5470,50,2506
5368,110,5502
5191,61,3056
5280,33,1678
5499,201,10061
5528,43,2181
5332,9,461
5326,38,1944
5332,97,4888
5904,2,136
5333,99,5000
5374,5,252
5384,0,10
5694,31,1597
5933,170,8513
5929,66,3311
5822,81,4073
5522,20,1022
5511,58,2939
5910,66,3309
5462,30,1524
5708,13,678
5881,6,349
5361,202,10122
5937,6,343
5370,0,19
5459,186,9326
5719,81,4084
5564,0,9
5451,17,894
5654,30,1523
5340,57,2868
5275,14,739
5185,27,1354
5382,57,2851
5519,58,2930
5136,18,950
5741,21,1096
5411,129,6489
5598,37,1898
5512,9,454
5444,42,2148
5382,99,4955
5566,37,1863
5208,11,558
5778,27,1390
5532,50,2502
5824,39,1975
5331,30,1509
5280,39,1964
5850,148,7433
5540,2,134
5208,68,3415
5730,30,1533
5564,139,6969
5204,57,2871
